,link,genre,company,country,language,keywords
52,Hitmans-Bodyguard-The#tab=summary,['Action'],"['Millennium Films', 'Cristal Pictures', 'East Light Film', 'CG Films  ']",United States,['English'],"['Bodyguard', 'Hitmen', 'Car Chase', 'Special Ops', 'Witness Protection', 'Interpol', 'Corrupt Cops', 'Intertitle', 'Prologue', 'Epilogue', 'Outtakes During Credits', 'Romance', 'Bonnie and Clyde romance', 'Set in England', 'Set in Netherlands', 'Set in Amsterdam', 'Set in The Hague', 'On a Boat', 'Action Comedy']"
53,Prince-of-Tides-The#tab=summary,['Drama'],"['Columbia Pictures', 'Barwood', 'Longfellow Pictures']",United States,['English'],"['Romance', 'Romantic Drama']"
54,Four-Brothers-(2005)#tab=summary,['Thriller/Suspense'],['di Bonaventura Pictures'],Canada,['English'],"['Hood Film', 'Crime', 'Crime Boss', 'Crime Thriller', 'Corrupt Cops', 'Adopted Family', 'Young Child Dealing with the Death of a Parent']"
55,Legends-of-the-Fall-(1996)#tab=summary,['Western'],['Tri-Star Pictures'],United States,['English'],[]
56,Looper#tab=summary,['Action'],"['Tri-Star Pictures', 'FilmDistrict', 'Endgame Entertainment', 'DMG Entertainment', 'Ram Bergman Productions']",China,['English'],"['Time Travel', 'Hitmen', 'Organized Crime', 'Same Role, Multiple Actors', 'Addiction', 'Action Thriller']"
57,Warm-Bodies#tab=summary,['Romantic Comedy'],"['Make Movies', 'Mandeville Films', 'Summit Entertainment']",United States,['English'],"['Romance', 'Romeo and Juliet Romance', 'Zombies', 'Voiceover/Narration', 'Non-Chronological', 'Unnamed Character', 'Epidemic', 'Post Apocalypse', 'Split Screen', 'Dream Sequence', 'Horror Comedy']"
58,About-Schmidt#tab=summary,['Drama'],[],United States,['English'],"['Road Trip', 'Death of a Spouse or Fiancée / Fiancé', 'Comedy Drama']"
59,Nut-Job-The#tab=summary,['Adventure'],"['Redrover', 'Toonbox Entertainment', 'Gulfstream Pictures', 'Ministry of Culture', 'Sports and Tourism of the Republic of Korea', 'Korean Small and Medium Business Administration', 'Korea Venture Investment Corp.']",Canada,['English'],"['3-D', 'Heist', 'Animal Lead', 'Talking Animals', 'Food', 'Voiceover/Narration', 'Director Remaking Their Own Movie', 'Surprise Twist', 'Scene in End Credits', 'Epilogue', '3-D - Shot in 3-D']"
60,Down-to-Earth-(2001)#tab=summary,['Comedy'],['Village Roadshow Productions'],United States,['English'],"['Reincarnation', 'Car Accident', 'Relationships Gone Wrong', 'Hitmen', 'Romance', 'Supernatural']"
61,Babe-(1995)#tab=summary,['Adventure'],[],Australia,['English'],"['Talking Animals', 'Animal Lead']"
62,Hope-Springs#tab=summary,['Romantic Comedy'],"['Columbia Pictures', 'Mandate Pictures', 'Metro-Goldwyn-Mayer Pictures', 'Film 360', 'Escape Artists']",United States,['English'],"['Romance', 'Relationships Gone Wrong', 'Relationship Advice', 'Autumn Years', 'December Romance', 'Therapists / Therapy']"
63,Forgetting-Sarah-Marshall-(2008)#tab=summary,"['Romantic Comedy', 'Romantic Comedy']","['Universal Pictures', 'Judd Apatow', 'Universal Pictures', 'Judd Apatow']",United States,"['English', 'English']","['Relationships Gone Wrong', 'Judd Apatow Buddy Comedy', 'Romantic Comedy', 'Infidelity', 'Romance', 'Musicians', 'TV Industry', 'Relationships Gone Wrong', 'Judd Apatow Buddy Comedy', 'Romantic Comedy', 'Infidelity', 'Romance', 'Musicians', 'TV Industry']"
64,Friday-Night-Lights#tab=summary,['Drama'],[],United States,['English'],"['Football', 'Inspirational Coach', 'Epilogue', '1980s', 'Texas', 'Sports Drama']"
65,Harlem-Nights#tab=summary,['Comedy'],[],United States,['English'],"['African Americans', 'Crime', 'Comedy Drama', '1910s', 'Set in Harlem', 'Gambling', 'Prostitution', 'Organized Crime', 'Corrupt Cops', 'Heist', 'Confidence Men', 'Crime Boss', 'Directing Yourself', 'Screenplay Written By the Star', 'Actors Making Their Directorial Debut']"
66,Baby-Mama#tab=summary,['Comedy'],['Relativity Media'],United States,['English'],"['Unexpected Families', 'Unconventional Pregnancies', 'Baby Shower', 'Infertility', 'Buddy Comedy', 'F-Rated', 'Female Lead', 'Voiceover/Narration', 'Relationships Gone Wrong', 'Dysfunctional Family', 'Scene in End Credits']"
67,Hope-Floats-(1998)#tab=summary,"['Drama', 'Drama']","['Lynda Obst Productions', 'Lynda Obst Productions']",United States,"['English', 'English']","['Romance', 'Romantic Drama', 'Romance', 'Romantic Drama']"
68,Bride-Wars#tab=summary,['Comedy'],"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency', 'Birdie']",United States,['English'],"['Remade', 'Farcical / Slapstick Comedy', 'Friends turned Enemies', 'Wedding Planning', 'Wedding Day Disasters', 'Wedding Day', 'Prank Gone Wrong']"
69,Without-a-Paddle-(2004)#tab=summary,['Comedy'],[],United States,['English'],"['Treasure Hunters', 'Farcical / Slapstick Comedy', 'Camping', 'Death of a Best Friend', 'Narcotics', 'Corrupt Cops', 'Funeral Reunions']"
70,Midnight-in-Paris#tab=summary,['Romantic Comedy'],"['Mediapro', 'Versatil Cinema', 'Gravier Productions', 'Pontchartrain']",Spain,['English'],"['Writing and Writers', 'Time Travel', 'Artists', 'Romance', 'In-Laws / Future In-Laws', 'Ensemble', 'Gratuitous Cameos', '1890s', '2012 Oscars Best Picture Nominee']"
71,Darkest-Hour-(UK)#tab=summary,['Drama'],"['Focus Features', 'Perfect World Pictures', 'Working Title Films']",United Kingdom,['English'],"['World War II', '1940s', 'Politicians', 'Nazis', 'Biography', 'Political', 'Royalty', 'Set in London', 'Set in England', 'Archive Footage', '2018 Oscars Best Picture Nominee', 'War Drama']"
72,Wallace-and-Gromit-The-Curse-of-the-Were-Rabbit#tab=summary,['Adventure'],"['Aardman Animations', 'DreamWorks Animation']",United States,['English'],"['Family Movie', 'Monster']"
73,P-S-I-Love-You#tab=summary,['Romantic Comedy'],['Alcon Entertainment'],United States,['English'],"['Romance', 'Romantic Comedy', 'Set in Manhattan', 'Cancer', 'Terminal Illness', 'Widow/Widower', 'Set in Ireland']"
74,Corpse-Bride#tab=summary,['Adventure'],"['Tim Burton', 'Laika']",United States,['English'],"['Kids Horror', 'Romance', 'Friendly Ghost', 'Arranged Marriage', 'Zombies']"
75,Life-of-the-Party#tab=summary,['Comedy'],"['New Line Cinema', 'On The Day Productions']",United States,['English'],"['College', 'Adult Education', 'Screenplay Written By the Star', 'Delayed Adulthood', 'Dysfunctional Family', 'Relationships Gone Wrong', 'Mid-Life Crisis', 'Farcical / Slapstick Comedy']"
76,Letters-to-Juliet#tab=summary,['Drama'],"['Summit Entertainment', 'Applehead Pictures']",United States,['English'],"['Romantic Drama', 'Set in Italy']"
77,Blow#tab=summary,['Drama'],"['Spanky Pictures', 'Apostle']",United States,['English'],"['Biography', 'Narcotics', 'Biographical Drama']"
78,Message-in-a-Bottle-(1999)#tab=summary,['Drama'],"['Warner Bros.', 'Bel-Air Entertainment', 'Tig Productions', 'Di Novi Pictures']",United States,['English'],"['Romance', 'Romantic Drama']"
79,Southpaw-(2015)#tab=summary,"['Drama', 'Drama']","['Riche   ', 'Escape Artists', 'Fuqua Films', 'Riche   ', 'Escape Artists', 'Fuqua Films']",United States,"['English', 'English']","['Boxing', 'Retirement', 'Death of a Spouse or Fiancée / Fiancé', 'Out of Retirement', 'Young Child Dealing with the Death of a Parent', 'Comeback', 'Child Protective Services', 'Sports Drama', 'Boxing', 'Retirement', 'Death of a Spouse or Fiancée / Fiancé', 'Out of Retirement', 'Young Child Dealing with the Death of a Parent', 'Comeback', 'Child Protective Services', 'Sports Drama']"
80,Star-Trek-V-The-Final-Frontier#tab=summary,"['Action', 'Action']",[],United States,[],"['Visual Effects', 'Action Adventure', 'Sibling Rivalry', 'Hostage', 'Rescue', 'Directing Yourself', 'Screenplay Written By the Star', 'Actors Making Their Directorial Debut', 'Visual Effects', 'Action Adventure', 'Sibling Rivalry', 'Hostage', 'Rescue', 'Directing Yourself', 'Screenplay Written By the Star', 'Actors Making Their Directorial Debut']"
81,Atomic-Blonde#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']","['Focus Features', 'Sierra Films', 'Denver & Delilah Films', 'Chickie The Cop', 'GIM Films', '87Eleven Inc.', 'Focus Features', 'Sierra Films', 'Denver & Delilah Films', 'Chickie The Cop', 'GIM Films', '87Eleven Inc.']",United States,"['English', 'English']","['Undercover', 'Cold War', 'Set in Berlin', 'Double Agent', 'Secret Agent', '1980s', 'Commies', 'Independent/Other Comics', 'IMAX: DMR', 'Action Thriller', 'Undercover', 'Cold War', 'Set in Berlin', 'Double Agent', 'Secret Agent', '1980s', 'Commies', 'Independent/Other Comics', 'IMAX: DMR', 'Action Thriller']"
82,Like-Mike#tab=summary,['Adventure'],[],United States,['English'],['Basketball']
83,Naked-Gun-33-1-3-The-Final-Insult#tab=summary,['Comedy'],[],United States,['English'],"['Spoof', 'Prison', 'Farcical / Slapstick Comedy', 'Prison Break', 'Relationships Gone Wrong', 'Undercover', 'Retirement', 'Out of Retirement', 'Terrorism']"
84,Atonement#tab=summary,['Drama'],"['Relativity Media', 'Working Title Films']",France,['English'],"['Coming of Age', 'War Drama', 'Romance']"
85,View-to-a-Kill-A#tab=summary,['Action'],"['Eon Productions', 'United Artists']",United Kingdom,['English'],['Secret Agent']
86,Sommersby-(1993)#tab=summary,['Drama'],['Regency Enterprises'],France,['English'],"['Historical Drama', 'Romance']"
87,Racing-Stripes#tab=summary,['Adventure'],[],United States,['English'],['Talking Animals']
88,Sicario#tab=summary,['Thriller/Suspense'],"['Thunder Road Film', 'Lionsgate', 'Black Label Media']",United States,['English'],"['DEA Agent', 'Narcotics', 'Smuggler', 'Organized Crime', 'FBI', 'Set in Mexico', 'Tortured for Information', 'Corrupt Cops', 'Revenge', 'Death of a Spouse or Fiancée / Fiancé', 'Death of a Son or Daughter', 'Action Thriller']"
89,Black-Rain#tab=summary,['Thriller/Suspense'],"['Jaffe Lansing', 'Michael Douglas']",United States,['English'],"['Mafia', 'Organized Crime', 'Film Noir', 'Crime Thriller', 'Culture Clash', 'Police Detective', 'Death of a Partner', 'Set in Japan', 'Set in New York City', 'Set in New York', 'NYPD', 'Yakuza']"
90,Full-Metal-Jacket-(1987)#tab=summary,['Drama'],"['Natant ', 'Harrier Films', 'Warner Bros.']",United Kingdom,['English'],"['Vietnam War', 'War', 'War Correspondent', 'Boot Camp', 'War Drama']"
91,Den-of-Thieves#tab=summary,['Action'],"['Diamond Film Productions', 'Tooley Productions', 'G-Base', 'Mark Canton', 'STX Entertainment']",United States,['English'],"['Set in Los Angeles', 'Heist', 'Bank Robbery', 'Cops and Robbers', 'Corrupt Cops', 'Crime', 'Action Thriller']"
92,Three-Stooges-The#tab=summary,"['Comedy', 'Comedy']","['Conundrum Entertainment', 'Charles B. Wessler Entertainment', 'C3 Entertainmnet', 'Dune Entertainment', 'Conundrum Entertainment', 'Charles B. Wessler Entertainment', 'C3 Entertainmnet', 'Dune Entertainment']",United States,"['English', 'English']","['Epilogue', 'Orphan', 'Adopted Family', 'Sibling Rivalry', 'Religious', 'Reality TV', 'Cross-Dressing', 'Development Hell', 'Gratuitous Cameos', 'Farcical / Slapstick Comedy', 'Epilogue', 'Orphan', 'Adopted Family', 'Sibling Rivalry', 'Religious', 'Reality TV', 'Cross-Dressing', 'Development Hell', 'Gratuitous Cameos', 'Farcical / Slapstick Comedy']"
93,Pokemon-2000#tab=summary,['Adventure'],[],Japan,[],"['Toy Adaptations', 'Anime']"
94,John-Wick#tab=summary,['Action'],"['Thunder Road Film', '87Eleven Inc.', 'MJW Films', 'Defynite Films']",United States,"['English', 'Russian']","['Organized Crime', 'Russian Mafia', 'Revenge', 'Retirement', 'Out of Retirement', 'Hitmen', 'Death of a Pet', 'Death of a Spouse or Fiancée / Fiancé', 'Terminal Illness', 'Film Noir', 'Non-Chronological', 'Intertitle', 'Set in New York', 'IMAX: DMR']"
95,Glory-Road#tab=summary,['Drama'],[],United States,['English'],"['Basketball', 'Inspirational Coach', 'Inspirational Sports', 'Inspired by a True Story', 'Sports Drama']"
96,Age-of-Adaline-The#tab=summary,"['Drama', 'Drama']","['Sidney Kimmel Entertainment', 'Lakeshore Entertainment', 'Lionsgate', 'Sidney Kimmel Entertainment', 'Lakeshore Entertainment', 'Lionsgate']",United States,"['English', 'English']","['Romance', 'Immortality', '1920s', 'Voiceover/Narration', 'Prologue', 'Set in San Francisco', '1900s', 'Black and White Sequence', 'Death of a Spouse or Fiancée / Fiancé', 'Young Child Dealing with the Death of a Parent', 'Car Accident', 'Near Death Experience', 'Non-Chronological', '1940s', '1950s', 'Blindness', 'Digital Cinematography', 'Romantic Drama', 'Romance', 'Immortality', '1920s', 'Voiceover/Narration', 'Prologue', 'Set in San Francisco', '1900s', 'Black and White Sequence', 'Death of a Spouse or Fiancée / Fiancé', 'Young Child Dealing with the Death of a Parent', 'Car Accident', 'Near Death Experience', 'Non-Chronological', '1940s', '1950s', 'Blindness', 'Digital Cinematography', 'Romantic Drama']"
97,Step-Up-3D#tab=summary,"['Drama', 'Drama']","['Touchstone Pictures', 'Summit Entertainment', 'Offspring Entertainment', 'Touchstone Pictures', 'Summit Entertainment', 'Offspring Entertainment']",United States,"['English', 'English']","['Dancing', 'Romance', '3-D', '3-D - Shot in 3-D', 'Sports Drama', 'Dancing', 'Romance', '3-D', '3-D - Shot in 3-D', 'Sports Drama']"
98,Drag-Me-To-Hell#tab=summary,"['Horror', 'Horror']","['Mandate Pictures', 'Mandate Pictures']",United States,"['English', 'Spanish', 'English', 'Spanish']","['Exorcism', 'Curses', 'Supernatural', 'Supernatural Horror', 'Exorcism', 'Curses', 'Supernatural', 'Supernatural Horror']"
99,Cabin-in-the-Woods#tab=summary,"['Thriller/Suspense', 'Thriller/Suspense']","['Lionsgate', 'Mutant Enemy', 'Lionsgate', 'Mutant Enemy']",United States,"['English', 'Japanese', 'English', 'Japanese']","['Development Hell', 'Surprise Twist', 'Corporate Life', 'Occult', 'Zombies', 'Haunting', 'Conspiracy Theory', 'Gods and Goddesses', 'Good vs. Evil', 'Hicksploitation', 'Werewolf', 'Voiceover/Narration', 'Monster', 'Creature Feature', 'Mermaids', 'Lovecraftian', 'End of the World', 'Visual Effects', 'Cabin in the Woods', 'Horror Comedy', 'Development Hell', 'Surprise Twist', 'Corporate Life', 'Occult', 'Zombies', 'Haunting', 'Conspiracy Theory', 'Gods and Goddesses', 'Good vs. Evil', 'Hicksploitation', 'Werewolf', 'Voiceover/Narration', 'Monster', 'Creature Feature', 'Mermaids', 'Lovecraftian', 'End of the World', 'Visual Effects', 'Cabin in the Woods', 'Horror Comedy']"
100,Secondhand-Lions#tab=summary,['Drama'],"['David Kirschner', 'Digital Domain']",United States,['English'],"['Family Drama', 'Dysfunctional Family', 'Unexpected Families', 'Misanthrope', 'Texas', 'Medical and Hospitals', 'Non-Chronological', 'Animal Lead', 'Child Abuse', 'Epilogue', 'Autumn Years']"
