,link,genre,company,country,language,keywords
0,Bringing-Out-The-Dead#tab=summary,['Black Comedy'],[], ,[],[]
1,Repo-Men#tab=summary,"['Action', 'Action']","['Universal Pictures', 'Relativity Media', 'Stuber Pictures', 'Universal Pictures', 'Relativity Media', 'Stuber Pictures']",United States,"['English', 'English']","['Action Thriller', 'Near Future', '2020s', 'Money Troubles', 'Medical Crimes', 'Medical and Hospitals', 'Action Thriller', 'Near Future', '2020s', 'Money Troubles', 'Medical Crimes', 'Medical and Hospitals']"
2,Dragon-Wars-D-War#tab=summary,"['Action', 'Action']",[],Republic of Korea,"['English', 'Korean', 'English', 'Korean']","['Creature Feature', 'Action Adventure', 'Dragon', 'Reincarnation', 'Creature Feature', 'Action Adventure', 'Dragon', 'Reincarnation']"
3,Bogus#tab=summary,"['Comedy', 'Comedy']","['Regency Enterprises', 'New Regency', 'Regency Enterprises', 'New Regency']", ,[],[]
4,Cats-Dont-Dance#tab=summary,"['Musical', 'Musical']",[],English,"['English', 'English']",[]
5,Cradle-Will-Rock#tab=summary,"['Drama', 'Drama']","['Touchstone Pictures', 'Touchstone Pictures']",United States,"['English', 'English']",[]
6,Good-German-The#tab=summary,['Drama'],['Section Eight'], ,[],"['World War II', 'War', 'Film Noir']"
7,George-and-the-Dragon#tab=summary,"['Adventure', 'Adventure']",[],Germany,"['English', 'English']",[]
8,Apocalypse-Now#tab=summary,"['Action', 'Action']",[],United States,"['English', 'English']","['Vietnam War', 'War', 'IMAX: DMR', 'Special Ops', 'Set in Cambodia', 'Vietnam War', 'War', 'IMAX: DMR', 'Special Ops', 'Set in Cambodia']"
9,Criminal-(2015)#tab=summary,"['Action', 'Action']","['Summit Entertainment', 'Millennium Films', 'Benderspink Productions', 'Campbell Grobman Films', 'Summit Entertainment', 'Millennium Films', 'Benderspink Productions', 'Campbell Grobman Films']",United Kingdom,"['English', 'English']","['Secret Agent', 'C.I.A.', 'Action Thriller', 'Faulty Memory', 'Hackers', 'Anarchists', 'Secret Agent', 'C.I.A.', 'Action Thriller', 'Faulty Memory', 'Hackers', 'Anarchists']"
10,Chtite-famille-La-(France)#tab=summary,"['Comedy', 'Comedy']",[],France,"['English', 'French', 'English', 'French']",[]
11,42-(2013)#tab=summary,['Drama'],"['Warner Bros.', 'Legendary Pictures', 'Brian Helgeland']",United States,['English'],"['Baseball', 'Bigotry', 'Discrimination', 'African Americans', 'Biography', 'Inspirational Sports', 'Biographical Drama']"
12,Flight#tab=summary,['Drama'],"['Paramount Pictures', 'ImageMovers', 'Parkes+Macdonald Productions']",United States,['English'],"['In a Plane', 'Lawyers', 'Disaster', 'Courtroom Drama', 'Addiction']"
13,Mr-Hollands-Opus#tab=summary,['Drama'],[],United States,['English'],"['Musicians', 'Inspirational Teacher', 'Life Drama']"
14,Moonraker#tab=summary,"['Action', 'Action']","['United Artists', 'Eon Productions', 'United Artists', 'Eon Productions']",United Kingdom,"['English', 'English']","['Secret Agent', 'Action Thriller', 'Space Program', 'MI6', 'Enemies Forced to Work Together', 'Genetic Engineering', 'Good vs. Evil', 'Genocide', 'Bent on World Domination', 'Secret Agent', 'Action Thriller', 'Space Program', 'MI6', 'Enemies Forced to Work Together', 'Genetic Engineering', 'Good vs. Evil', 'Genocide', 'Bent on World Domination']"
15,Grand-Budapest-Hotel-The#tab=summary,['Comedy'],"['Fox Searchlight Pictures', 'Indian Paintbrush', 'Studio Babelsberg', 'American Empirical']",United States,"['English', 'French', 'German']","['Ensemble', 'Writing and Writers', 'Non-Chronological', 'Unnamed Character', 'Inheritance', 'Wrongfully Convicted', 'Prison Break', 'Romance', 'Death of a Son or Daughter', 'Death of a Spouse or Fiancée / Fiancé', 'Rags to Riches', 'May / December Romance', 'Hitmen', 'Breaking the Fourth Wall', 'Intertitle', 'Prologue', 'Voiceover/Narration', 'Same Role, Multiple Actors', 'Immigration', 'Fascism', 'Orphan', 'Bigotry', 'Gratuitous Cameos', 'Animated Sequences', 'Winter Sports', 'Old Age Makeup', 'Nazis Outside of World War II', '2015 Oscars Best Picture Nominee', 'Golden Globe Winner Best Picture—Musical or Comedy', 'Comedy Drama']"
16,Vacation#tab=summary,"['Comedy', 'Comedy']","['Benderspink Productions', 'Big Kid Pictures', 'New Line Cinema', 'RatPac Entertainment', 'Dune Entertainment', 'Benderspink Productions', 'Big Kid Pictures', 'New Line Cinema', 'RatPac Entertainment', 'Dune Entertainment']",United States,"['English', 'English']","['Vacation', 'Road Trip', 'Dysfunctional Family', 'Delayed Sequel', 'Sequel With Lead Character Recast', 'Actors Making Their Directorial Debut', 'Family Comedy', 'Vacation', 'Road Trip', 'Dysfunctional Family', 'Delayed Sequel', 'Sequel With Lead Character Recast', 'Actors Making Their Directorial Debut', 'Family Comedy']"
17,Arachnophobia#tab=summary,"['Horror', 'Horror']","['Amblin Entertainment', 'Hollywood Pictures', 'Amblin Entertainment', 'Hollywood Pictures']",United States,"['English', 'Spanish', 'English', 'Spanish']","['Animals Gone Bad', 'Animal Lead', 'Academics', 'Field Scientists', 'Doctors', 'Prologue', 'Country Mouse, City Mouse', 'Creature Feature', 'Anxiety and Phobias', 'Horror Comedy', 'Animals Gone Bad', 'Animal Lead', 'Academics', 'Field Scientists', 'Doctors', 'Prologue', 'Country Mouse, City Mouse', 'Creature Feature', 'Anxiety and Phobias', 'Horror Comedy']"
18,Isnt-it-Romantic-(2019)#tab=summary,['Romantic Comedy'],"['New Line Cinema', 'Bron Creative', 'Broken Road', 'Little Engine']",United States,['English'],"['Set in New York City', 'Set in New York', 'Love Triangle', 'Architecture', 'LGBTQ+', 'Alternate or Altered Realities']"
19,Frequency#tab=summary,['Thriller/Suspense'],[],United States,['English'],"['Crime Thriller', 'Time Travel', 'Serial Killer', 'Adult Child Dealing with the Death of a Parent', 'Accidental Death', '1960s', 'Cancer', 'Framed']"
20,Hearts-in-Atlantis#tab=summary,['Drama'],[], ,[],"['Coming of Age', 'Mystery Drama', 'Prologue', 'Non-Chronological', '1960s', 'Death of a Best Friend', ""You Can't Go Home Again"", 'Posthumous Release', 'Psychics', 'Shadowy Organization', 'Bullies', 'Sex Crimes', 'Boss From Hell', 'Same Actor, Multiple Roles']"
21,Extraordinary-Measures#tab=summary,"['Drama', 'Drama']","['Double Feature Films', 'Double Feature Films']",United States,"['English', 'English']","['Biographical Drama', 'Biography', 'Medical and Hospitals', 'Terminal Illness', 'Workaholic', 'Biographical Drama', 'Biography', 'Medical and Hospitals', 'Terminal Illness', 'Workaholic']"
22,Birth-of-the-Dragon#tab=summary,"['Action', 'Action']","['Groundswell Productions', 'Kylin Pictures', 'WWE Studios', 'BH Tilt', 'Anomally Entertainment', 'Blumhouse', 'Groundswell Productions', 'Kylin Pictures', 'WWE Studios', 'BH Tilt', 'Anomally Entertainment', 'Blumhouse']",United States,"['English', 'English']","['Biography', '1960s', 'Set in San Francisco', 'Martial Arts', 'Martial Arts Master', 'Biography', '1960s', 'Set in San Francisco', 'Martial Arts', 'Martial Arts Master']"
23,Get-Shorty#tab=summary,['Comedy'],['Jersey Films'],United States,['English'],"['Movie Business', 'Film Noir', 'Crime Comedy', 'Money Troubles', 'Organized Crime', 'Drug Cartels']"
24,Ghostbusters-(1984)#tab=summary,['Comedy'],['Columbia Pictures'],United States,['English'],"['Visual Effects', 'Possessed', 'Haunting', 'College', 'Academics', 'Paranormal Investigation', 'End of the World', 'Demons', 'Set in New York', 'Supernatural']"
25,Toy-Story#tab=summary,['Adventure'],['Disney-Pixar'],United States,['English'],"['Living Toys', 'Family Movie', '3-D', '3-D - Post-production Conversion']"
26,Crazy-Rich-Asians-(2018)#tab=summary,['Romantic Comedy'],"['Color Force', 'Ivanhoe Pictures', 'Warner Bros.', 'SK Global', 'Beijing Universe Starlight Culture Media Company', 'Electric Somewhere']",United States,['English'],"['Set in Singapore', 'Asian-Americans', 'Romance', ""You Can't Go Home Again"", 'Dysfunctional Family', 'Cross-Class Romance', 'Culture Clash', 'IMAX: DMR']"
27,Chicago#tab=summary,['Musical'],['Producer Circle Company'],United States,['English'],"['Performing Arts', 'Singers', 'Lawyers', 'News', 'Infidelity', 'Relationships Gone Wrong', 'Faked Pregnancies', 'Courtroom Drama', 'Paparazzi', 'Cruel Wardens or Prison Guards', 'Media Circus', 'Oscars Best Picture Winner']"
28,Big-Daddy-(1999)#tab=summary,['Comedy'],"['Columbia Pictures', 'Out of the Blue Entertainment', 'Jack Giarraputo']",United States,['English'],"['1990s', 'Adopted Family', 'LGBTQ+', 'Set in Manhattan', 'Set in New York']"
29,American-Pie-2#tab=summary,['Comedy'],[],United States,['English'],[]
30,Vow-The#tab=summary,['Drama'],"['Screen Gems', 'Spyglass Entertainment', 'Birnbaum/Barber']",United States,['English'],"['Romance', 'Faulty Memory', 'Medical and Hospitals', 'Inspired by a True Story', 'Romantic Drama']"
31,Speed#tab=summary,['Action'],['20th Century Fox'],United States,['English'],['Rescue']
32,Hunt-for-Red-October-The#tab=summary,['Thriller/Suspense'],"['Mace Neufeld', 'Jerry Sherlock']",United States,['English'],"['Underwater', 'Intertitle', 'Cold War', 'On a Boat', 'Secret Agent', 'Political']"
33,Butler-The#tab=summary,['Drama'],"['Weinstein Company', 'Laura Ziskin Productions', 'Windy Hill Pictures', 'Follow Through Productions', 'Salamander Pictures', 'Pam Williams Productions']",United States,['English'],"['Upstairs / Downstairs', 'Political', 'African Americans', 'Biography', 'Ensemble', 'Non-Chronological', 'Sex Crimes', 'Young Child Dealing with the Death of a Parent', 'Bigotry', 'Assassination', 'Addiction', 'Infidelity', 'Dysfunctional Family', 'Apartheid', 'Biographical Drama']"
34,Remember-the-Titans-(2000)#tab=summary,['Drama'],"['Walt Disney Pictures', 'Jerry Bruckheimer', 'Technical Black']",United States,['English'],"['Football', 'Inspirational Coach', 'Bigotry', 'Inspired by a True Story', 'Inspirational Sports', 'Sports Drama', '1970s', 'High School', 'Race Relations']"
35,District-9#tab=summary,['Thriller/Suspense'],['Wingnut Films'],New Zealand,"['English', 'Nyanja']","['2010 Oscars Best Picture Nominee', 'First Contact', 'Motion Capture Performance']"
36,Dodgeball-A-True-Underdog-Story#tab=summary,['Comedy'],['Red Hour Productions'],United States,['English'],"['Miscellaneous Sports', 'Fake Sports', 'Frat Pack', 'Slobs vs. Snobs']"
37,Addams-Family-The#tab=summary,['Comedy'],[],United States,['English'],[]
38,Ace-Ventura-When-Nature-Calls#tab=summary,['Comedy'],"['Morgan Creek Productions', 'Warner Bros.']",United States,['English'],"['Set in Africa', 'Private Investigator']"
39,Princess-Diaries-The#tab=summary,['Comedy'],['Walt Disney Pictures'],United States,['English'],"['Prince/Princess', 'Tween', 'Royalty', 'Family Movie', 'Ugly Duckling']"
40,Analyze-This#tab=summary,['Comedy'],['Warner Bros.'],United States,['English'],"['Mafia', 'Crime Comedy']"
41,First-Wives-Club-The#tab=summary,['Comedy'],[],United States,['English'],[]
42,Million-Dollar-Baby#tab=summary,['Drama'],['Warner Bros.'],United States,['English'],"['Boxing', 'Oscars Best Picture Winner', 'Sports Drama']"
43,Se7en#tab=summary,['Thriller/Suspense'],['Juno Pix'],United States,['English'],"['Serial Killer', 'Film Noir', 'Psychological Thriller']"
44,Mystic-River#tab=summary,['Drama'],"['Village Roadshow Productions', 'Malpaso Productions', 'NPV Entertainment']",Australia,['English'],"['Mystery Drama', 'Film Noir']"
45,Sisters#tab=summary,['Comedy'],"['Universal Pictures', 'Little Stranger', 'Everyman Pictures']",United States,['English'],"[""You Can't Go Home Again"", 'Parties Gone Wild']"
46,Pokemon-The-First-Movie#tab=summary,['Adventure'],[],Japan,['Japanese'],"['Toy Adaptations', 'Anime']"
47,SpongeBob-SquarePants-The-Movie#tab=summary,['Adventure'],"['Nickelodeon Films', 'United Plankton Pictures']",United States,['English'],[]
48,Notebook-The#tab=summary,['Drama'],"['New Line Cinema', 'Gran Via']",United States,['English'],"['Cross-Class Romance', 'Romance', 'World War II', 'Coming of Age', 'Twins', 'Relatives Playing Relatives', 'Unnamed Character', 'Voiceover/Narration', 'Sex Crimes', 'Animated Sequences', 'Jewish', 'Bigotry', 'War Crimes', 'Holocaust', 'Dysfunctional Family', 'Pedophilia', 'Young Child Dealing with the Death of a Parent', 'Child Abuse', 'Romantic Drama']"
49,Hannah-Montana-The-Movie-(2009)#tab=summary,['Drama'],"['Walt Disney Pictures', 'Millar/Gough Ink']",United States,['English'],"['Tween', 'Comedy Drama']"
50,27-Dresses#tab=summary,['Romantic Comedy'],"['Spyglass Entertainment', 'Fox 2000 Pictures', 'Birnbaum/Barber']",United States,['English'],['Romance']
51,Rugrats-in-Paris#tab=summary,['Adventure'],[],United States,['English'],['Family Vacations']
