number,moviename,Budget,Domestic,Worldwide
1,Avatar: The Way of Water,"460,000,000","682,862,582","2,314,897,888"
2,Avengers: Endgame,"400,000,000","858,373,000","2,794,731,755"
3,Pirates of the Caribbean: On Stranger Tides,"379,000,000","241,071,802","1,045,713,802"
4,Avengers: Age of Ultron,"365,000,000","459,005,868","1,395,316,979"
5,Fast X,"340,000,000",0,0
6,Star Wars Ep. VII: The Force Awakens,"306,000,000","936,662,225","2,064,615,817"
7,Avengers: Infinity War,"300,000,000","678,815,482","2,048,359,754"
8,Pirates of the Caribbean: At World’s End,"300,000,000","309,420,425","960,996,492"
9,Justice League,"300,000,000","229,024,295","655,945,209"
10,Spectre,"300,000,000","200,074,175","879,077,344"
11,Mission: Impossible Dead Reckoning Part One,"290,000,000",0,0
12,Star Wars: The Rise of Skywalker,"275,000,000","515,202,542","1,072,767,997"
13,Solo: A Star Wars Story,"275,000,000","213,767,512","393,151,347"
14,John Carter,"263,700,000","73,058,679","282,778,100"
15,Batman v Superman: Dawn of Justice,"263,000,000","330,360,194","872,395,091"
16,Star Wars Ep. VIII: The Last Jedi,"262,000,000","620,181,382","1,331,635,141"
17,The Lion King,"260,000,000","543,638,043","1,647,733,638"
18,Tangled,"260,000,000","200,821,936","583,777,242"
19,Spider-Man 3,"258,000,000","336,530,303","894,860,230"
20,Black Panther: Wakanda Forever,"250,000,000","453,829,060","854,041,058"
21,Captain America: Civil War,"250,000,000","408,084,349","1,151,899,586"
22,Thor: Love and Thunder,"250,000,000","343,256,830","760,928,081"
23,Harry Potter and the Half-Blood Prince,"250,000,000","302,089,278","929,411,069"
24,The Hobbit: The Desolation of Smaug,"250,000,000","258,241,522","959,358,436"
25,The Hobbit: The Battle of the Five Armies,"250,000,000","255,119,788","940,323,039"
26,The Fate of the Furious,"250,000,000","225,764,765","1,236,703,796"
27,No Time to Die,"250,000,000","160,891,007","759,959,662"
28,Avatar,"237,000,000","785,221,649","2,923,706,026"
29,Superman Returns,"232,000,000","200,120,000","391,081,192"
30,The Dark Knight Rises,"230,000,000","448,139,099","1,082,228,107"
31,Pirates of the Caribbean: Dead Men Tell No Tales,"230,000,000","172,558,876","794,861,794"
32,Quantum of Solace,"230,000,000","169,368,427","591,692,078"
33,The Avengers,"225,000,000","623,357,910","1,515,100,211"
34,Pirates of the Caribbean: Dead Man’s Chest,"225,000,000","423,315,812","1,066,179,725"
35,Man of Steel,"225,000,000","291,045,518","667,999,518"
36,The Chronicles of Narnia: Prince Caspian,"225,000,000","141,621,490","417,341,288"
37,The Lone Ranger,"225,000,000","89,302,115","260,002,115"
38,The Amazing Spider-Man,"220,000,000","262,030,663","757,890,267"
39,Battleship,"220,000,000","65,233,400","313,477,717"
40,Transformers: The Last Knight,"217,000,000","130,168,683","602,893,340"
41,Jurassic World,"215,000,000","652,306,625","1,669,963,641"
42,Men in Black 3,"215,000,000","179,020,854","654,213,485"
43,Transformers: Revenge of the Fallen,"210,000,000","402,111,870","836,519,699"
44,Transformers: Age of Extinction,"210,000,000","245,439,076","1,104,054,072"
45,X-Men: The Last Stand,"210,000,000","234,362,462","459,260,946"
46,Robin Hood,"210,000,000","105,487,148","322,459,006"
47,King Kong,"207,000,000","218,080,025","550,517,357"
48,The Golden Compass,"205,000,000","70,107,728","367,262,558"
49,Tenet,"205,000,000","58,504,105","360,240,189"
50,Spider-Man: No Way Home,"200,000,000","814,115,070","1,910,048,245"
51,Black Panther,"200,000,000","700,059,566","1,336,494,320"
52,Titanic,"200,000,000","674,396,795","2,222,985,568"
53,Incredibles 2,"200,000,000","608,581,744","1,242,805,359"
54,Rogue One: A Star Wars Story,"200,000,000","533,539,991","1,055,083,596"
55,Finding Dory,"200,000,000","486,295,561","1,025,006,125"
56,Toy Story 4,"200,000,000","434,038,008","1,073,064,540"
57,Toy Story 3,"200,000,000","415,004,880","1,068,879,522"
58,Doctor Strange in the Multiverse of Madness,"200,000,000","411,331,607","952,224,986"
59,Iron Man 3,"200,000,000","408,992,272","1,215,392,272"
60,Guardians of the Galaxy Vol 2,"200,000,000","389,813,101","869,087,963"
61,Spider-Man 2,"200,000,000","373,524,485","794,697,557"
62,The Batman,"200,000,000","369,345,583","766,326,717"
63,Alice in Wonderland,"200,000,000","334,191,110","1,025,491,110"
64,Skyfall,"200,000,000","304,360,277","1,110,526,981"
65,The Hobbit: An Unexpected Journey,"200,000,000","303,003,568","1,014,938,545"
66,Monsters University,"200,000,000","268,488,329","743,455,810"
67,Oz the Great and Powerful,"200,000,000","234,770,996","490,359,051"
68,X-Men: Days of Future Past,"200,000,000","233,921,534","747,862,775"
69,Ant-Man and the Wasp: Quantumania,"200,000,000","212,880,215","466,929,606"
70,The Amazing Spider-Man 2,"200,000,000","202,853,933","708,996,336"
71,Cars 2,"200,000,000","191,450,875","560,155,383"
72,Black Widow,"200,000,000","183,651,655","379,751,131"
73,Fast & Furious Presents: Hobbs & Shaw,"200,000,000","173,956,935","760,732,926"
74,F9: The Fast Saga,"200,000,000","173,005,945","720,752,238"
75,Tron: Legacy,"200,000,000","172,062,763","399,866,199"
76,Black Adam,"200,000,000","168,152,111","391,261,706"
77,2012,"200,000,000","166,112,167","757,677,748"
78,Eternals,"200,000,000","164,870,264","401,731,759"
79,Fantastic Beasts: The Crimes of Grindelwald,"200,000,000","159,555,901","648,455,339"
80,Terminator Salvation,"200,000,000","125,322,469","365,491,792"
81,Lightyear,"200,000,000","118,307,188","218,768,299"
82,Jungle Cruise,"200,000,000","116,987,516","210,469,803"
83,Green Lantern,"200,000,000","116,601,172","219,535,492"
84,Fantastic Beasts: The Secrets of Dumbledore,"200,000,000","95,850,844","404,560,145"
85,Prince of Persia: Sands of Time,"200,000,000","90,759,676","336,359,676"
86,Dark Phoenix,"200,000,000","65,845,974","246,356,895"
87,Onward,"200,000,000","61,555,145","133,357,601"
88,Wonder Woman 1984,"200,000,000","46,801,036","166,360,232"
89,Mulan,"200,000,000",0,"69,973,540"
90,The Tomorrow War,"200,000,000",0,"19,220,000"
91,The Gray Man,"200,000,000",0,"451,178"
92,Transformers: Dark of the Moon,"195,000,000","352,390,543","1,123,794,079"
93,The Mummy,"195,000,000","80,101,125","409,953,905"
94,Jack the Giant Slayer,"195,000,000","65,187,603","197,687,603"
95,Furious 7,"190,000,000","353,007,020","1,514,553,486"
96,Star Trek Into Darkness,"190,000,000","228,778,661","467,381,584"
97,World War Z,"190,000,000","202,706,711","531,861,650"
98,The Great Gatsby,"190,000,000","144,840,419","353,640,419"
99,Disney’s A Christmas Carol,"190,000,000","137,855,863","315,709,697"
100,Pacific Rim,"190,000,000","101,802,906","411,002,906"
101,The Matrix Resurrections,"190,000,000","40,463,197","159,197,755"
102,The Good Dinosaur,"187,500,000","123,087,120","333,771,037"
103,Iron Man,"186,000,000","318,604,126","585,171,547"
104,The Dark Knight,"185,000,000","534,987,076","1,006,234,167"
105,Indiana Jones and the Kingdom of the Crystal Skull,"185,000,000","317,101,119","786,635,413"
106,Brave,"185,000,000","237,282,182","554,606,532"
107,Kong: Skull Island,"185,000,000","168,052,812","561,072,059"
108,Star Trek Beyond,"185,000,000","158,848,340","335,673,708"
109,Maleficent: Mistress of Evil,"185,000,000","113,929,605","489,181,357"
110,Blade Runner 2049,"185,000,000","92,054,159","258,829,058"
111,Terminator: Dark Fate,"185,000,000","62,253,077","250,367,666"
112,The Suicide Squad,"185,000,000","55,817,425","167,097,737"
113,Aladdin,"182,000,000","355,559,216","1,046,587,513"
114,Thor: Ragnarok,"180,000,000","315,058,289","850,482,778"
115,"The Chronicles of Narnia: The Lion, the Witch a&hellip;","180,000,000","291,710,957","720,539,572"
116,Maleficent,"180,000,000","241,407,328","758,536,735"
117,Fantastic Beasts and Where to Find Them,"180,000,000","234,037,575","811,724,385"
118,WALL-E,"180,000,000","223,808,164","532,508,025"
119,Rush Hour 3,"180,000,000","140,125,968","256,585,882"
120,The Legend of Tarzan,"180,000,000","126,643,061","348,902,025"
121,Hugo,"180,000,000","73,864,507","180,047,784"
122,Valerian and the City of a Thousand Planets,"180,000,000","40,479,370","215,098,356"
123,Jupiter Ascending,"179,000,000","47,482,519","181,982,519"
124,Mission: Impossible—Fallout,"178,000,000","220,159,104","787,176,729"
125,X-Men: Apocalypse,"178,000,000","155,442,489","542,537,546"
126,The Meg,"178,000,000","145,443,742","527,267,828"
127,Edge of Tomorrow,"178,000,000","100,206,256","367,028,980"
128,Captain Marvel,"175,000,000","426,829,839","1,129,576,094"
129,The Jungle Book,"175,000,000","364,001,123","953,535,821"
130,Inside Out,"175,000,000","356,461,711","850,566,343"
131,Spider-Man: Homecoming,"175,000,000","334,201,140","878,271,291"
132,Suicide Squad,"175,000,000","325,100,054","745,744,980"
133,Up,"175,000,000","293,004,164","731,463,377"
134,Coco,"175,000,000","210,460,015","797,660,271"
135,Ralph Breaks The Internet,"175,000,000","201,091,711","529,290,830"
136,Monsters vs. Aliens,"175,000,000","198,351,526","381,687,380"
137,Cars 3,"175,000,000","152,901,115","383,541,369"
138,G.I. Joe: The Rise of Cobra,"175,000,000","150,201,498","302,469,017"
139,Wild Wild West,"175,000,000","113,805,681","221,229,335"
140,The Mummy: Tomb of the Dragon Emperor,"175,000,000","102,491,776","405,760,225"
141,Evan Almighty,"175,000,000","100,289,690","174,131,329"
142,Waterworld,"175,000,000","88,246,220","264,246,220"
143,Dolittle,"175,000,000","77,047,065","251,509,166"
144,King Arthur: Legend of the Sword,"175,000,000","39,175,066","139,630,336"
145,47 Ronin,"175,000,000","38,362,475","151,716,815"
146,Turning Red,"175,000,000",0,"10,964,971"
147,Top Gun: Maverick,"170,000,000","718,732,821","1,481,369,482"
148,Jurassic World: Fallen Kingdom,"170,000,000","417,719,760","1,308,323,302"
149,Guardians of the Galaxy,"170,000,000","333,714,112","770,882,395"
150,Iron Man 2,"170,000,000","312,433,331","621,156,389"
151,Captain America: The Winter Soldier,"170,000,000","259,746,958","714,401,889"
152,Dawn of the Planet of the Apes,"170,000,000","208,545,589","710,644,566"
153,The Polar Express,"170,000,000","188,042,855","312,183,437"
154,Snow White and the Huntsman,"170,000,000","155,136,755","401,021,746"
155,Terminator 3: Rise of the Machines,"170,000,000","150,358,296","433,058,296"
156,Van Helsing,"170,000,000","120,150,546","300,150,546"
157,Dumbo,"170,000,000","114,766,307","353,166,307"
158,Godzilla: King of the Monsters,"170,000,000","110,500,138","383,299,914"
159,Tomorrowland,"170,000,000","93,436,322","206,627,518"
160,Alita: Battle Angel,"170,000,000","85,838,210","401,900,040"
161,Alice Through the Looking Glass,"170,000,000","77,042,381","276,928,112"
162,Jurassic World: Dominion,"165,000,000","376,851,080","1,003,775,632"
163,Shrek Forever After,"165,000,000","238,736,787","756,244,673"
164,Doctor Strange,"165,000,000","232,641,920","676,343,174"
165,Big Hero 6,"165,000,000","222,527,828","647,263,005"
166,How to Train Your Dragon,"165,000,000","217,581,232","494,870,992"
167,Wreck-It Ralph,"165,000,000","189,412,677","496,511,521"
168,Interstellar,"165,000,000","188,017,894","648,082,655"
169,Dune,"165,000,000","108,327,830","391,774,790"
170,Independence Day: Resurgence,"165,000,000","103,144,286","384,169,424"
171,Cowboys and Aliens,"163,000,000","100,368,560","176,038,324"
172,Beauty and the Beast,"160,000,000","504,014,165","1,268,697,483"
173,Spider-Man: Far From Home,"160,000,000","390,532,085","1,132,107,522"
174,Aquaman,"160,000,000","335,061,807","1,143,758,700"
175,Shrek the Third,"160,000,000","322,719,944","807,330,936"
176,Inception,"160,000,000","292,576,195","728,537,960"
177,The Hunger Games: Mockingjay - Part 2,"160,000,000","281,723,902","647,396,133"
178,Fast and Furious 6,"160,000,000","238,679,850","789,300,444"
179,Godzilla,"160,000,000","200,676,069","529,076,069"
180,X-Men: First Class,"160,000,000","146,408,305","355,408,305"
181,The Curious Case of Benjamin Button,"160,000,000","127,509,326","329,631,958"
182,The Sorcerer's Apprentice,"160,000,000","63,150,991","217,986,320"
183,Poseidon,"160,000,000","60,674,817","181,674,817"
184,Warcraft,"160,000,000","47,365,290","438,899,824"
185,The Irishman,"159,000,000",0,"914,706"
186,Haunted Mansion,"157,750,000",0,0
187,Deepwater Horizon,"156,000,000","61,433,527","122,359,309"
188,The Chronicles of Narnia: The Voyage of the Daw&hellip;,"155,000,000","104,386,950","418,186,950"
189,Godzilla vs. Kong,"155,000,000","100,916,094","468,043,852"
190,Terminator: Genisys,"155,000,000","89,760,956","432,150,894"
191,Pacific Rim: Uprising,"155,000,000","59,874,525","290,930,148"
192,Alexander,"155,000,000","34,297,191","167,297,191"
193,War for the Planet of the Apes,"152,000,000","146,880,162","489,592,267"
194,Pearl Harbor,"151,500,000","198,539,855","449,239,853"
195,Transformers,"151,000,000","319,246,193","708,272,592"
196,Frozen II,"150,000,000","477,373,578","1,437,862,795"
197,Wonder Woman,"150,000,000","412,563,408","817,691,766"
198,Frozen,"150,000,000","400,953,009","1,256,894,754"
199,Zootopia,"150,000,000","341,268,248","1,002,462,578"
200,Harry Potter and the Order of the Phoenix,"150,000,000","292,137,260","939,619,849"
201,Harry Potter and the Goblet of Fire,"150,000,000","290,201,752","886,742,787"
202,The Matrix Reloaded,"150,000,000","281,553,689","738,576,929"
203,I am Legend,"150,000,000","256,393,010","585,532,684"
204,Moana,"150,000,000","248,757,044","630,626,714"
205,Hancock,"150,000,000","227,946,274","624,234,272"
206,Shang-Chi and the Legend of the Ten Rings,"150,000,000","224,543,292","432,224,634"
207,Charlie and the Chocolate Factory,"150,000,000","206,459,076","475,825,484"
208,Ratatouille,"150,000,000","206,445,654","626,549,695"
209,Thor: The Dark World,"150,000,000","206,362,140","644,602,516"
210,Batman Begins,"150,000,000","205,343,774","358,858,124"
211,Mission: Impossible—Rogue Nation,"150,000,000","195,042,377","688,858,992"
212,Dunkirk,"150,000,000","190,068,280","512,390,011"
213,Thor,"150,000,000","181,030,624","449,326,618"
214,Madagascar: Escape 2 Africa,"150,000,000","180,174,880","599,680,774"
215,X-Men Origins: Wolverine,"150,000,000","179,883,157","374,825,760"
216,Night at the Museum: Battle of the Smithsonian,"150,000,000","177,243,721","402,231,063"
217,Kung Fu Panda 2,"150,000,000","165,249,063","664,837,547"
218,Mad Max: Fury Road,"150,000,000","153,636,354","365,769,378"
219,Pokémon: Detective Pikachu,"150,000,000","144,105,346","429,061,724"
220,The Matrix Revolutions,"150,000,000","139,270,910","427,300,260"
221,Ready Player One,"150,000,000","137,690,172","579,055,653"
222,Chicken Little,"150,000,000","135,386,665","310,043,823"
223,Mission: Impossible III,"150,000,000","133,501,348","399,387,745"
224,Angels & Demons,"150,000,000","133,375,846","490,875,846"
225,Troy,"150,000,000","133,298,577","483,152,040"
226,The Last Airbender,"150,000,000","131,772,187","319,713,881"
227,Bee Movie,"150,000,000","126,631,277","287,594,577"
228,G-Force,"150,000,000","119,436,770","292,817,841"
229,Bolt,"150,000,000","114,053,579","328,015,029"
230,Encanto,"150,000,000","96,093,622","231,107,645"
231,Wrath of the Titans,"150,000,000","83,670,083","305,270,083"
232,Beowulf,"150,000,000","82,280,579","195,080,579"
233,Dark Shadows,"150,000,000","79,727,149","245,564,215"
234,White House Down,"150,000,000","73,103,784","205,440,387"
235,Space Jam: A New Legacy,"150,000,000","70,592,228","143,987,946"
236,Dungeons & Dragons: Honor Among Thieves,"150,000,000","68,660,000","130,357,985"
237,The Wolfman,"150,000,000","62,189,884","142,634,358"
238,The Great Wall,"150,000,000","45,157,105","334,486,852"
239,Pan,"150,000,000","35,088,320","151,525,973"
240,Mars Needs Moms,"150,000,000","21,392,758","39,549,758"
241,Moonfall,"150,000,000","19,060,660","59,053,195"
242,Red Notice,"150,000,000",0,"173,638"
243,6 Underground,"150,000,000",0,0
244,Flushed Away,"149,000,000","64,665,672","179,357,126"
245,Madagascar 3: Europe's Most Wanted,"145,000,000","216,391,482","746,921,271"
246,Mission: Impossible—Ghost Protocol,"145,000,000","209,397,903","694,713,230"
247,How to Train Your Dragon 2,"145,000,000","177,002,924","614,586,270"
248,Tarzan,"145,000,000","171,091,819","448,191,819"
249,Mr. Peabody & Sherman,"145,000,000","111,506,430","269,806,430"
250,Rise of the Guardians,"145,000,000","103,412,758","306,941,670"
251,Sahara,"145,000,000","68,671,925","121,645,390"
252,Ghostbusters,"144,000,000","128,350,574","229,008,658"
253,Die Another Day,"142,000,000","160,942,139","431,942,139"
254,Pirates of the Caribbean: The Curse of the Blac&hellip;,"140,000,000","305,410,819","654,310,819"
255,Star Trek,"140,000,000","257,730,019","386,839,614"
256,Armageddon,"140,000,000","201,578,182","554,600,000"
257,Men in Black 2,"140,000,000","190,418,803","441,767,803"
258,Captain America: The First Avenger,"140,000,000","176,654,505","370,569,776"
259,Kung Fu Panda 3,"140,000,000","143,528,619","521,170,825"
260,Lethal Weapon 4,"140,000,000","130,444,603","285,400,000"
261,G.I. Joe: Retaliation,"140,000,000","122,523,060","375,740,705"
262,The Last Samurai,"140,000,000","111,110,575","456,810,575"
263,Fun With Dick And Jane,"140,000,000","110,550,000","203,018,919"
264,Exodus: Gods and Kings,"140,000,000","65,014,513","268,314,513"
265,The BFG,"140,000,000","55,483,770","199,646,680"
266,Gemini Man,"140,000,000","48,546,770","166,598,362"
267,Gods of Egypt,"140,000,000","31,153,464","138,836,756"
268,Desert Warrior,"140,000,000",0,0
269,Spider-Man,"139,000,000","403,706,375","821,706,375"
270,Watchmen,"138,000,000","107,509,799","186,976,250"
271,Stealth,"138,000,000","32,116,746","76,416,746"
272,The Incredible Hulk,"137,500,000","134,806,913","265,573,859"
273,Hulk,"137,000,000","132,177,234","245,031,679"
274,Final Fantasy: The Spirits Within,"137,000,000","32,131,830","85,131,830"
275,"The Twilight Saga: Breaking Dawn, Part 2","136,200,000","292,324,737","829,724,737"
276,The Croods,"135,000,000","187,168,425","573,068,425"
277,The Revenant,"135,000,000","183,637,894","532,938,302"
278,The World is Not Enough,"135,000,000","126,930,660","361,730,660"
279,Rango,"135,000,000","123,477,607","245,724,600"
280,Master and Commander: The Far Side of the World,"135,000,000","93,926,386","212,912,137"
281,Turbo,"135,000,000","83,028,130","286,896,578"
282,Teenage Mutant Ninja Turtles: Out of the Shadows,"135,000,000","82,051,601","245,328,374"
283,Happy Feet Two,"135,000,000","64,006,466","157,956,462"
284,Miami Vice,"135,000,000","63,478,838","164,920,076"
285,Strange World,"135,000,000","37,968,963","69,566,884"
286,The Nutcracker and the Four Realms,"132,900,000","54,858,851","170,024,300"
287,War of the Worlds,"132,000,000","234,280,354","606,836,535"
288,Penguins of Madagascar,"132,000,000","83,350,911","366,942,531"
289,The Hunger Games: Catching Fire,"130,000,000","424,668,047","864,868,047"
290,Harry Potter and the Prisoner of Azkaban,"130,000,000","249,757,726","789,592,708"
291,The Bourne Ultimatum,"130,000,000","227,471,070","444,043,396"
292,Ant-Man and the Wasp,"130,000,000","216,648,740","623,144,660"
293,Kung Fu Panda,"130,000,000","215,434,591","631,910,531"
294,Ant-Man,"130,000,000","180,202,163","518,858,449"
295,Home,"130,000,000","177,397,510","385,997,896"
296,Mary Poppins Returns,"130,000,000","171,958,438","348,901,032"
297,Puss in Boots,"130,000,000","149,260,504","554,987,477"
298,Megamind,"130,000,000","148,415,853","321,887,208"
299,Bad Boys II,"130,000,000","138,540,870","273,271,982"
300,Rio 2,"130,000,000","131,538,435","492,846,291"
301,Salt,"130,000,000","118,311,368","290,650,494"
302,Noah,"130,000,000","101,200,044","352,831,065"
303,The Adventures of Tintin,"130,000,000","77,591,831","373,993,951"
304,After Earth,"130,000,000","60,522,097","251,499,665"
305,Australia,"130,000,000","49,554,002","215,080,810"
306,R.I.P.D.,"130,000,000","33,618,855","79,076,678"
307,How to Train Your Dragon: The Hidden World,"129,000,000","160,799,505","521,533,238"
308,"The Twilight Saga: Breaking Dawn, Part 1","127,500,000","281,287,133","685,817,413"
309,Dinosaur,"127,500,000","137,748,063","356,148,063"
310,Logan,"127,000,000","226,277,068","614,202,315"
311,Night at the Museum: Secret of the Tomb,"127,000,000","113,746,621","353,756,621"
312,Harry Potter and the Deathly Hallows: Part II,"125,000,000","381,193,157","1,316,278,261"
313,The Hunger Games: Mockingjay - Part 1,"125,000,000","337,135,885","766,575,131"
314,Harry Potter and the Sorcerer’s Stone,"125,000,000","317,871,467","965,043,494"
315,Jumanji: The Next Level,"125,000,000","316,831,246","798,210,215"
316,Harry Potter and the Deathly Hallows: Part I,"125,000,000","296,131,568","951,767,705"
317,The Da Vinci Code,"125,000,000","217,536,138","767,820,459"
318,X-Men 2,"125,000,000","214,949,694","406,348,630"
319,Fast Five,"125,000,000","210,031,325","630,163,454"
320,Teenage Mutant Ninja Turtles,"125,000,000","191,204,754","485,004,754"
321,Sherlock Holmes: A Game of Shadows,"125,000,000","186,848,418","535,663,443"
322,The Day After Tomorrow,"125,000,000","186,740,799","555,840,117"
323,The Boss Baby,"125,000,000","175,003,033","527,909,949"
324,Clash of the Titans,"125,000,000","163,214,888","493,214,888"
325,Trolls,"125,000,000","153,707,064","343,242,613"
326,Godzilla,"125,000,000","136,314,294","376,000,000"
327,Prometheus,"125,000,000","126,477,084","402,448,265"
328,The Bourne Legacy,"125,000,000","113,203,870","280,355,920"
329,Batman & Robin,"125,000,000","107,325,195","238,317,814"
330,Skyscraper,"125,000,000","68,420,120","304,858,121"
331,The Call of the Wild,"125,000,000","62,342,368","107,351,191"
332,Total Recall,"125,000,000","58,877,969","211,856,088"
333,Shazam! Fury of the Gods,"125,000,000","57,157,103","128,557,103"
334,Assassin’s Creed,"125,000,000","54,647,948","240,759,682"
335,Monster Trucks,"125,000,000","33,370,166","61,642,798"
336,The 13th Warrior,"125,000,000","32,698,899","61,698,899"
337,How the Grinch Stole Christmas,"123,000,000","260,348,825","345,445,403"
338,Mission: Impossible 2,"120,000,000","215,409,889","549,588,516"
339,The Perfect Storm,"120,000,000","182,618,434","328,711,434"
340,Jason Bourne,"120,000,000","162,192,920","416,168,316"
341,Uncharted,"120,000,000","148,648,820","400,689,914"
342,Fantastic Four: Rise of the Silver Surfer,"120,000,000","131,921,738","289,480,691"
343,Life of Pi,"120,000,000","124,987,022","619,310,368"
344,Ghost Rider,"120,000,000","115,802,596","229,545,589"
345,Rampage,"120,000,000","101,028,233","427,947,217"
346,Charlie's Angels: Full Throttle,"120,000,000","100,814,328","227,163,273"
347,Elysium,"120,000,000","93,050,117","286,192,091"
348,Oblivion,"120,000,000","89,107,235","287,916,633"
349,Power Rangers,"120,000,000","85,364,450","142,531,552"
350,Stuart Little 2,"120,000,000","64,956,806","166,000,000"
351,RoboCop,"120,000,000","58,607,007","242,981,799"
352,The Chronicles of Riddick,"120,000,000","57,712,751","107,212,751"
353,The Fantastic Four,"120,000,000","56,117,548","167,849,187"
354,Speed Racer,"120,000,000","43,945,766","93,394,462"
355,The Island,"120,000,000","35,818,913","163,018,913"
356,How Do You Know?,"120,000,000","30,212,620","49,628,177"
357,Outlaw King,"120,000,000",0,0
358,Emancipation,"120,000,000",0,0
359,Knight and Day,"117,000,000","76,423,035","258,751,370"
360,Tang Ren Jie Tan An 3,"117,000,000",0,"699,072,066"
361,Venom,"116,000,000","213,511,408","856,081,053"
362,Star Wars Ep. I: The Phantom Menace,"115,000,000","474,544,677","1,027,044,677"
363,Star Wars Ep. III: Revenge of the Sith,"115,000,000","380,270,577","848,998,877"
364,Star Wars Ep. II: Attack of the Clones,"115,000,000","310,676,740","656,695,615"
365,"Monsters, Inc.","115,000,000","290,149,425","560,483,719"
366,The Wolverine,"115,000,000","132,556,852","416,456,852"
367,Dante’s Peak,"115,000,000","67,163,857","178,200,000"
368,The Huntsman: Winter’s War,"115,000,000","48,003,015","165,149,302"
369,Windtalkers,"115,000,000","40,914,068","77,628,265"
370,Triple Frontier,"115,000,000",0,0
371,Astérix aux Jeux Olympiques,"113,500,000","999,811","132,999,811"
372,Gulliver's Travels,"112,000,000","42,779,261","232,017,848"
373,Ferdinand,"111,000,000","84,410,380","288,510,892"
374,Deadpool 2,"110,000,000","324,591,735","786,362,370"
375,Gravity,"110,000,000","274,092,705","685,710,761"
376,Night at the Museum,"110,000,000","250,863,268","579,446,407"
377,Venom: Let There be Carnage,"110,000,000","213,550,366","501,546,922"
378,Mr. and Mrs. Smith,"110,000,000","186,336,279","486,124,090"
379,San Andreas,"110,000,000","155,190,832","456,258,539"
380,The Smurfs,"110,000,000","142,614,158","563,749,323"
381,Live Free or Die Hard,"110,000,000","134,529,403","382,288,147"
382,The Divergent Series: Insurgent,"110,000,000","130,179,072","295,075,882"
383,Ocean's Twelve,"110,000,000","125,531,634","362,989,076"
384,Tomorrow Never Dies,"110,000,000","125,304,276","339,504,276"
385,The Patriot,"110,000,000","113,330,342","215,300,000"
386,300: Rise of an Empire,"110,000,000","106,580,051","330,780,051"
387,The Aviator,"110,000,000","102,608,827","208,370,892"
388,Passengers,"110,000,000","100,014,699","302,239,672"
389,The Green Hornet,"110,000,000","98,780,042","229,155,503"
390,Miss Peregrine’s Home for Peculiar Children,"110,000,000","87,242,834","295,986,876"
391,Real Steel,"110,000,000","85,463,309","263,880,341"
392,Men in Black: International,"110,000,000","80,001,807","253,015,298"
393,The A-Team,"110,000,000","77,222,099","177,241,171"
394,The Smurfs 2,"110,000,000","71,017,784","348,547,523"
395,The Divergent Series: Allegiant,"110,000,000","66,184,051","172,022,517"
396,The Taking of Pelham 123,"110,000,000","65,452,312","152,364,370"
397,Ender's Game,"110,000,000","61,737,191","127,983,283"
398,Home on the Range,"110,000,000","50,026,353","76,482,461"
399,Speed 2: Cruise Control,"110,000,000","48,097,081","150,468,000"
400,Kingdom of Heaven,"110,000,000","47,398,413","218,674,938"
401,Ghost in the Shell,"110,000,000","40,563,557","167,910,690"
402,Around the World in 80 Days,"110,000,000","24,004,159","72,004,159"
403,Babylon,"110,000,000","15,351,455","63,262,638"
404,Dr. Seuss’ The Cat in the Hat,"109,000,000","101,018,283","133,818,283"
405,Ali,"109,000,000","58,183,966","87,683,966"
406,The Martian,"108,000,000","228,433,663","653,609,107"
407,Allied,"106,000,000","40,098,064","119,266,661"
408,"I, Robot","105,000,000","144,801,023","348,629,585"
409,Stuart Little,"105,000,000","140,015,224","298,815,224"
410,The Princess and the Frog,"105,000,000","104,400,899","270,997,378"
411,"10,000 B.C.","105,000,000","94,784,201","269,065,678"
412,Ice Age: Collision Course,"105,000,000","64,063,008","402,156,682"
413,Starship Troopers,"105,000,000","54,768,952","121,100,000"
414,Town & Country,"105,000,000","6,712,451","10,364,769"
415,Kingsman: The Golden Circle,"104,000,000","100,234,838","408,803,696"
416,Gone in 60 Seconds,"103,300,000","101,643,008","232,643,008"
417,Gladiator,"103,000,000","187,683,805","456,435,588"
418,The Hangover 3,"103,000,000","112,200,072","362,000,072"
419,A Wrinkle in Time,"103,000,000","100,478,608","133,214,549"
420,Public Enemies,"102,500,000","97,104,620","212,282,709"
421,Casino Royale,"102,000,000","167,365,000","594,420,216"
422,Minority Report,"102,000,000","132,024,714","358,824,714"
423,Bumblebee,"102,000,000","127,195,589","465,195,589"
424,Cloud Atlas,"102,000,000","27,108,272","130,673,154"
425,The Super Mario Bros. Movie,"100,000,000","283,423,700","531,821,843"
426,Harry Potter and the Chamber of Secrets,"100,000,000","262,233,381","874,954,530"
427,Terminator 2: Judgment Day,"100,000,000","203,464,105","515,376,182"
428,Batman Forever,"100,000,000","184,031,112","336,529,144"
429,Planet of the Apes,"100,000,000","180,011,740","362,211,740"
430,National Treasure,"100,000,000","173,005,002","331,323,410"
431,Django Unchained,"100,000,000","162,805,434","449,841,566"
432,1917,"100,000,000","159,227,644","389,140,440"
433,John Wick: Chapter 4,"100,000,000","154,297,705","316,101,387"
434,Little Fockers,"100,000,000","148,438,600","310,650,574"
435,True Lies,"100,000,000","146,282,411","365,300,000"
